Days after Jan 21,Cases,,Days after Jan 21,Is_china,Cases,Cumulative Cases,,,,,
1.00,555,,1.00,China,548,548,,,,,
2.00,653,,2.00,China,95,643,,,,,
3.00,941,,3.00,China,277,920,,,,,
4.00,1434,,4.00,China,486,1406,,,,,
5.00,2118,,5.00,China,669,2075,,,,,
6.00,2927,,6.00,China,802,2877,,,,,
7.00,5578,,7.00,China,2632,5509,,,,,
8.00,6166,,8.00,China,578,6087,,,,,
9.00,8234,,9.00,China,2054,8141,,,,,
10.00,9927,,10.00,China,1661,9802,,,,,
11.00,12038,,11.00,China,2089,11891,,,,,
12.00,16787,,12.00,China,4739,16630,,,,,
13.00,19881,,13.00,China,3086,19716,,,,,
14.00,23892,,14.00,China,3991,23707,,,,,
15.00,27635,,15.00,China,3733,27440,,,,,
16.00,30817,,16.00,China,3147,30587,,,,,
17.00,34391,,17.00,China,3523,34110,,,,,
18.00,37120,,18.00,China,2704,36814,,,,,
19.00,40150,,19.00,China,3015,39829,,,,,
20.00,42762,,20.00,China,2525,42354,,,,,
21.00,44802,,21.00,China,2032,44386,,,,,
22.00,45221,,22.00,China,373,44759,,,,,
23.00,60368,,23.00,China,15136,59895,,,,,
24.00,66885,,24.00,China,6463,66358,,,,,
25.00,69030,,25.00,China,2055,68413,,,,,
26.00,71224,,26.00,China,2100,70513,,,,,
27.00,73258,,27.00,China,1921,72434,,,,,
28.00,75136,,28.00,China,1777,74211,,,,,
29.00,75639,,29.00,China,408,74619,,,,,
30.00,76197,,30.00,China,458,75077,,,,,
31.00,76823,,31.00,China,473,75550,,,,,
32.00,78579,,32.00,China,1451,77001,,,,,
33.00,78965,,33.00,China,21,77022,,,,,
34.00,79568,,34.00,China,219,77241,,,,,
35.00,80413,,35.00,China,513,77754,,,,,
36.00,81395,,36.00,China,412,78166,,,,,
37.00,82754,,37.00,China,434,78600,,,,,
38.00,84120,,38.00,China,328,78928,,,,,
39.00,86011,,39.00,China,428,79356,,,,,
40.00,88369,,40.00,China,576,79932,,,,,
41.00,90306,,41.00,China,204,80136,,,,,
42.00,92840,,42.00,China,125,80261,,,,,
43.00,95120,,43.00,China,125,80386,,,,,
44.00,97882,,44.00,China,151,80537,,,,,
45.00,101784,,45.00,China,153,80690,,,,,
46.00,105821,,46.00,China,80,80770,,,,,
47.00,109795,,47.00,China,53,80823,,,,,
48.00,113561,,48.00,China,37,80860,,,,,
49.00,118592,,49.00,China,27,80887,,,,,
50.00,125865,,50.00,China,34,80921,,,,,
51.00,128343,,51.00,China,11,80932,,,,,
52.00,145193,,52.00,China,13,80945,,,,,
53.00,156097,,53.00,China,32,80977,,,,,
54.00,167449,,54.00,China,26,81003,,,,,
55.00,181531,,55.00,China,30,81033,,,,,
56.00,197146,,56.00,China,25,81058,,,,,
,,,1.00,Not China,7,7,,,,,
,,,2.00,Not China,3,10,,,,,
,,,3.00,Not China,11,21,,,,,
,,,4.00,Not China,7,28,,,,,
,,,5.00,Not China,15,43,,,,,
,,,6.00,Not China,7,50,,,,,
,,,7.00,Not China,19,69,,,,,
,,,8.00,Not China,10,79,,,,,
,,,9.00,Not China,14,93,,,,,
,,,10.00,Not China,32,125,,,,,
,,,11.00,Not China,22,147,,,,,
,,,12.00,Not China,10,157,,,,,
,,,13.00,Not China,8,165,,,,,
,,,14.00,Not China,20,185,,,,,
,,,15.00,Not China,10,195,,,,,
,,,16.00,Not China,35,230,,,,,
,,,17.00,Not China,51,281,,,,,
,,,18.00,Not China,25,306,,,,,
,,,19.00,Not China,15,321,,,,,
,,,20.00,Not China,87,408,,,,,
,,,21.00,Not China,8,416,,,,,
,,,22.00,Not China,46,462,,,,,
,,,23.00,Not China,11,473,,,,,
,,,24.00,Not China,54,527,,,,,
,,,25.00,Not China,90,617,,,,,
,,,26.00,Not China,94,711,,,,,
,,,27.00,Not China,113.00,824,,,,,
,,,28.00,Not China,101.00,925.00,,,,,
,,,29.00,Not China,95.00,1020.00,,,,,
,,,30.00,Not China,100.00,1120.00,,,,,
,,,31.00,Not China,153.00,1273.00,,,,,
,,,32.00,Not China,305.00,1578.00,,,,,
,,,33.00,Not China,365.00,1943.00,,,,,
,,,34.00,Not China,384.00,2327.00,,,,,
,,,35.00,Not China,332.00,2659.00,,,,,
,,,36.00,Not China,570.00,3229.00,,,,,
,,,37.00,Not China,925.00,4154.00,,,,,
,,,38.00,Not China,1038.00,5192.00,,,,,
,,,39.00,Not China,1463.00,6655.00,,,,,
,,,40.00,Not China,1782.00,8437.00,,,,,
,,,41.00,Not China,1733.00,10170.00,,,,,
,,,42.00,Not China,2409.00,12579.00,,,,,
,,,43.00,Not China,2155.00,14734.00,,,,,
,,,44.00,Not China,2611.00,17345.00,,,,,
,,,45.00,Not China,3749,21094,,,,,
,,,46.00,Not China,3957,25051,,,,,
,,,47.00,Not China,3921,28972,,,,,
,,,48.00,Not China,3729,32701,,,,,
,,,49.00,Not China,5004,37705,,,,,
,,,50.00,Not China,7239,44944,,,,,
,,,51.00,Not China,2467,47411,,,,,
,,,52.00,Not China,16837,64248,,,,,
,,,53.00,Not China,10872,75120,,,,,
,,,54.00,Not China,11326,86446,,,,,
,,,55.00,Not China,14052,100498,,,,,
,,,56.00,Not China,15590,116088,,,,,